,url,year,imdb_link,title,Directed by,Produced by,Starring,Music by,Cinematography,Edited by,Distributed by,Release date,Running time,Country,Language
0,https://en.wikipedia.org/wiki/The_Adventures_of_Ford_Fairlane,-1.6677131939767726,https://www.imdb.com/title/tt0098987/,The Adventures of Ford Fairlane,Renny Harlin,"['Steve Perry', 'Joel Silver']","['Andrew Dice Clay', 'Wayne Newton', 'Priscilla Presley', 'Lauren Holly', 'Morris Day', 'Robert Englund', ""Ed O'Neill""]","['Cliff Eidelman', 'Yello']",Oliver Wood,Michael Tronick,20th Century Fox,"['July 11, 1990', '(', '1990-07-11', ')']",102 minutes,United States,English
1,"https://en.wikipedia.org/wiki/After_Dark,_My_Sweet",-1.6677131939767726,https://www.imdb.com/title/tt0098994/,"After Dark, My Sweet",James Foley,"['Ric Kidney', 'Robert Redlin']","['Jason Patric', 'Rachel Ward', 'Bruce Dern', 'George Dickerson']",Maurice Jarre,Mark Plummer,Howard E. Smith,Avenue Pictures,"['May 17, 1990', '(', '1990-05-17', ')', '(Cannes Film Market)', 'August 24, 1990', '(', '1990-08-24', ')', '(United States)']",114 minutes,United States,English
2,https://en.wikipedia.org/wiki/Air_America_(film),-1.6677131939767726,https://www.imdb.com/title/tt0099005/,Air America,Roger Spottiswoode,Daniel Melnick,"['Mel Gibson', 'Robert Downey Jr.', 'Nancy Travis', 'David Marshall Grant', 'Lane Smith']",Charles Gross,Roger Deakins,"['John Bloom', 'Lois Freeman-Fox']",TriStar Pictures,"['August 10, 1990', '(', '1990-08-10', ')']",113 minutes,United States,"['English', 'Lao']"
3,https://en.wikipedia.org/wiki/Alice_(1990_film),-1.6677131939767726,https://www.imdb.com/title/tt0099012/,Alice,Woody Allen,Robert Greenhut,"['Alec Baldwin', 'Blythe Danner', 'Judy Davis', 'Mia Farrow', 'William Hurt', 'Keye Luke', 'Joe Mantegna', 'Bernadette Peters']",,Carlo Di Palma,Susan E. Morse,Orion Pictures,"['December 25, 1990', '(', '1990-12-25', ')']",106 minutes,United States,English
4,https://en.wikipedia.org/wiki/Almost_an_Angel,-1.6677131939767726,https://www.imdb.com/title/tt0099018/,Almost an Angel,John Cornell,John Cornell,"['Paul Hogan', 'Elias Koteas', 'Linda Kozlowski']",Maurice Jarre,Russell Boyd,David Stiven,Paramount Pictures,"December 19, 1990",95 minutes,US,English
5,https://en.wikipedia.org/wiki/The_Ambulance,-1.6677131939767726,https://www.imdb.com/title/tt0099026/,The Ambulance,Larry Cohen,"['Larry Cohen', 'Moctesuma Esparza', 'Robert Katz']","['Eric Roberts', 'James Earl Jones', 'Red Buttons', 'Megan Gallagher']",Jay Chattaway,Jacques Haitkin,"['Claudia Finkle', 'Armond Leibowitz']",Triumph Releasing Corporation,"['March 22, 1990', '(', '1990-03-22', ')']",95 minutes,United States,English
6,https://en.wikipedia.org/wiki/American_Dream_(film),-1.6677131939767726,https://www.imdb.com/title/tt0099028/,American Dream,"['Barbara Kopple', 'Co-directors:', 'Cathy Caplan', 'Thomas Haneke', 'Lawrence Silk']","['Arthur Cohn', 'Barbara Kopple']",,Michael Small,"['Tom Hurwitz', 'Mathieu Roberts', 'Nesya Shapiro']","['Cathy Caplan', 'Thomas Haneke', 'Lawrence Silk']",Prestige Films,"['October 6, 1990', '(', '1990-10-06', ')', '(', 'New York Film Festival', ')']",100 minutes,"['United States', 'United Kingdom']",English
7,https://en.wikipedia.org/wiki/American_Ninja_4:_The_Annihilation,-1.6677131939767726,https://www.imdb.com/title/tt0101326/,American Ninja 4: The Annihilation,Cedric Sundstrom,Ovidio G Assonitis,"['Michael Dudikoff', 'David Bradley', 'James Booth', 'Dwayne Alexandre']",,,,Cannon Group,"['March 8, 1991', '(', '1991-03-08', ')']",99 minutes,"['United States', 'Lesotho']",English
8,https://en.wikipedia.org/wiki/Andre%27s_Mother,-1.6677131939767726,https://www.imdb.com/title/tt0099037/,Andre's Mother,Deborah Reinisch,"['Sarah Green', 'Deborah Reinisch']","['Richard Thomas', 'Sada Thompson', 'Sylvia Sidney']",Jonathan Sheffer,Bobby Bukowski,Jeffrey Wolf,Public Broadcasting Service,"['March 7, 1990', '(', '1990-03-07', ')']",50 minutes,United States,English
9,https://en.wikipedia.org/wiki/Angel_Town_(film),-1.6677131939767726,https://www.imdb.com/title/tt0099039/,Angel Town,Eric Karson,"['Ash R. Shah', 'Eric Karson']","['Olivier Gruner', 'Theresa Saldana', 'Frank Aragon', 'Tony Valentino', 'Peter Kwong', 'Mike Moroff']",Terry Plumeri,John LeBlanc,Duane Hartzell,Imperial Entertainment,"['February 23, 1990 (', 'USA', ')']",102 min,United States,English
10,https://en.wikipedia.org/wiki/Another_48_Hrs.,-1.6677131939767726,https://www.imdb.com/title/tt0099044/,Another 48 Hrs.,Walter Hill,"['Lawrence Gordon', 'Robert D. Wachs']","['Eddie Murphy', 'Nick Nolte', 'Brion James', ""Ed O'Ross"", 'Andrew Divoff']",James Horner,Matthew F. Leonetti,"['Donn Aron', 'Carmel Davies', 'Freeman A. Davies', 'Tim Ryder']",Paramount Pictures,"['June 8, 1990', '(', '1990-06-08', ')']",93 minutes,United States,English
11,https://en.wikipedia.org/wiki/Arachnophobia_(film),-1.6677131939767726,https://www.imdb.com/title/tt0099052/,Arachnophobia,Frank Marshall,"['Kathleen Kennedy', 'Richard Vane']","['Jeff Daniels', 'Julian Sands', 'Harley Jane Kozak', 'John Goodman']",Trevor Jones,Mikael Salomon,Michael Kahn,Buena Vista Pictures,"['July 18, 1990', '(', '1990-07-18', ')']",110 minutes,United States,English
12,https://en.wikipedia.org/wiki/Avalon_(1990_film),-1.6677131939767726,https://www.imdb.com/title/tt0099073/,Avalon,Barry Levinson,"['Mark Johnson', 'Barry Levinson']","['Armin Mueller-Stahl', 'Elizabeth Perkins', 'Joan Plowright', 'Aidan Quinn']",Randy Newman,Allen Daviau,Stu Linder,"['TriStar Pictures', '(United States)', 'Columbia Pictures', '(United Kingdom)', '[1]']","['October 5, 1990', '(', '1990-10-05', ')', '(United States)']",126 minutes,United States,English
13,https://en.wikipedia.org/wiki/Awakenings,-1.6677131939767726,https://www.imdb.com/title/tt0099077/,Awakenings,Penny Marshall,"['Walter F. Parkes', 'Lawrence Lasker']","['Robert De Niro', 'Robin Williams', 'John Heard', 'Julie Kavner', 'Penelope Ann Miller', 'Max von Sydow']",Randy Newman,Miroslav Ondricek,"['Battle Davis', 'Jerry Greenberg']",Columbia Pictures,"['December 20, 1990 (limited U.S.)', 'January 11, 1991 (wide U.S.)']",121 minutes,United States,English
14,https://en.wikipedia.org/wiki/Back_to_the_Future_Part_III,-1.6677131939767726,https://www.imdb.com/title/tt0099088/,Back to the Future Part III,Robert Zemeckis,"['Neil Canton', 'Bob Gale']","['Michael J. Fox', 'Christopher Lloyd', 'Mary Steenburgen', 'Thomas F. Wilson', 'Lea Thompson']",Alan Silvestri,Dean Cundey,"['Harry Keramidas', 'Arthur Schmidt']",Universal Pictures,"['May 25, 1990', '(', '1990-05-25', ')']",118 minutes,United States,English
15,https://en.wikipedia.org/wiki/Bad_Influence_(film),-1.6677131939767726,https://www.imdb.com/title/tt0099091/,Bad Influence,Curtis Hanson,Steve Tisch,"['Rob Lowe', 'James Spader']",Trevor Jones,Robert Elswit,Bonnie Koehler,Triumph Releasing Corporation,"March 9, 1990",99 minutes,United States,English
16,https://en.wikipedia.org/wiki/Basket_Case_2,-1.6677131939767726,https://www.imdb.com/title/tt0099108/,Basket Case 2,Frank Henenlotter,Edgar Ievins,Kevin Van Hentenryck,Joe Renzetti,Robert M. Baldwin,Kevin Tent,Shapiro Glickenhaus Entertainment,"['March 2, 1990', '(', '1990-03-02', ')']",90 minutes,,English
17,https://en.wikipedia.org/wiki/Betsy%27s_Wedding,-1.6677131939767726,https://www.imdb.com/title/tt0099128/,Betsy's Wedding,Alan Alda,"['Martin Bregman', 'Louis A. Stroller']","['Alan Alda', 'Joey Bishop', 'Madeline Kahn', ""Catherine O'Hara"", 'Joe Pesci', 'Ally Sheedy', 'Burt Young', 'Molly Ringwald']",Bruce Broughton,Kelvin Pike,Michael E. Polakow,Buena Vista Pictures,"['June 22, 1990', '(', '1990-06-22', ')']",94 minutes,United States,English
18,https://en.wikipedia.org/wiki/Bird_on_a_Wire_(film),-1.6677131939767726,https://www.imdb.com/title/tt0099141/,Bird on a Wire,John Badham,Rob Cohen,"['Mel Gibson', 'Goldie Hawn', 'David Carradine', 'Bill Duke']",Hans Zimmer,Robert Primes,"['Frank Morriss', 'Dallas Puett']",Universal Pictures,"['May 18, 1990', '(', '1990-05-18', ')']",110 minutes,United States,English
19,https://en.wikipedia.org/wiki/Blind_Faith_(1990_film),-1.6677131939767726,https://www.imdb.com/title/tt0099148/,Blind Faith,Paul Wendkos,,"['Robert Urich', 'Joanna Kerns', 'David Barry Gray', 'Jay Underwood', 'Johnny Galecki']",,Chuck Arnold,,,,190 minutes,,
20,https://en.wikipedia.org/wiki/Bloodfist_II,-1.6677131939767726,https://www.imdb.com/title/tt0099155/,Bloodfist II,Andy Blumenthal,"['New Horizons', 'Concorde Pictures', '(', 'Roger Corman', 'Catherine Cyran', 'Cirio H. Santiago', ')']","['Don Wilson', 'Maurice Smith', 'James Warring', 'Timothy Baker', 'Richard Hill']",Nigel Holton,Bruce Dorfman,Karen D. Joseph,,"['October 12, 1990', '(', '1990-10-12', ')']",85 minutes,United States,English
21,https://en.wikipedia.org/wiki/Blue_Steel_(1990_film),-1.6677131939767726,https://www.imdb.com/title/tt0099160/,Blue Steel,Kathryn Bigelow,"['Edward R. Pressman', 'Oliver Stone', 'Lawrence Kasanoff']","['Jamie Lee Curtis', 'Ron Silver', 'Clancy Brown', 'Elizabeth Peña', 'Louise Fletcher']",Brad Fiedel,Amir Mokri,Lee Percy,Metro-Goldwyn-Mayer,"['January 1990', '(', '1990-01', ')', '(', 'Sundance Film Festival', ')', 'March 16, 1990', '(', '1990-03-16', ')']",102 minutes,United States,English
22,https://en.wikipedia.org/wiki/The_Bonfire_of_the_Vanities_(film),-1.6677131939767726,https://www.imdb.com/title/tt0099165/,The Bonfire of the Vanities,Brian De Palma,Brian De Palma,"['Tom Hanks', 'Bruce Willis', 'Melanie Griffith', 'Morgan Freeman']",Dave Grusin,Vilmos Zsigmond,"['Bill Pankow', 'David Ray']",Warner Bros.,"['December 21, 1990', '(', '1990-12-21', ')']",126 minutes,United States,English
23,https://en.wikipedia.org/wiki/Bride_of_Re-Animator,-1.6677131939767726,https://www.imdb.com/title/tt0099180/,Bride of Re-Animator,Brian Yuzna,Brian Yuzna,"['Jeffrey Combs', 'Bruce Abbott', 'Fabiana Udenio', 'Kathleen Kinmont']",Richard Band,Rick Fichter,Peter Teschner,50th Street Films,"['September 8, 1990', '(', '1990-09-08', ')', '(', 'TIFF', ')', 'February 22, 1991', '(', '1991-02-22', ')']",96 minutes,United States,English
24,https://en.wikipedia.org/wiki/Cadence_(film),-1.6677131939767726,https://www.imdb.com/title/tt0101531/,Cadence,Martin Sheen,"['Timothy Gamble', 'Frank Giustra', 'Peter E. Strauss']","['Charlie Sheen', 'Martin Sheen', 'Laurence Fishburne', 'Michael Beach', 'Ramon Estevez']",Georges Delerue,Richard Leiterman,Martin Hunter,"['New Line Cinema', 'Republic Pictures']","['1990', '(', '1990', ')', '(Deauville Film Festival)', 'January 18, 1990', '(', '1990-01-18', ')', '(U.S.)']",97 minutes,United States,English
25,https://en.wikipedia.org/wiki/Cadillac_Man,-1.6677131939767726,https://www.imdb.com/title/tt0099204/,Cadillac Man,Roger Donaldson,"['Roger Donaldson', 'Charles Roven']","['Robin Williams', 'Tim Robbins', 'Pamela Reed', 'Fran Drescher']",J. Peter Robinson,David Gribble,Richard Francis-Bruce,Orion Pictures,"['May 18, 1990', '(', '1990-05-18', ')']",97 minutes,United States,English
26,https://en.wikipedia.org/wiki/Camp_Cucamonga,-1.6677131939767726,https://www.imdb.com/title/tt0099212/,Camp Cucamonga,Roger Duchowny,,"['John Ratzenberger', 'Brian Robbins', 'Jennifer Aniston', 'Chad Allen', 'Candace Cameron', 'Danica McKellar', 'Josh Saviano', 'Tasha Scott', 'Jaleel White', 'Johnny Galecki', 'Dorothy Lyman', 'Richard Herd', 'Sherman Hemsley', 'G. Gordon Liddy']",,Peter Smokler,,,,93 min,,
27,https://en.wikipedia.org/wiki/Captain_America_(1990_film),-1.6677131939767726,https://www.imdb.com/title/tt0103923/,Captain America,Albert Pyun,"['Joseph Calamari', 'Menahem Golan', 'Tom Karnowski', 'Stan Lee']","['Matt Salinger', 'Ronny Cox', 'Scott Paulin', 'Ned Beatty', 'Darren McGavin', 'Francesca Neri', 'Michael Nouri']",Barry Goldberg,Philip Alan Waters,Jon Poll,"['20/20 Vision', '(UK VHS)', 'Columbia Tristar Home Video', '(US VHS)', 'Metro-Goldwyn-Mayer', '(Current)']","['December 14, 1990', '(', '1990-12-14', ')', '(United Kingdom)', 'July 22, 1992', '(', '1992-07-22', ')', '(United States)']",97 minutes,"['Yugoslavia', 'United States']",English
28,https://en.wikipedia.org/wiki/Cartoon_All-Stars_to_the_Rescue,-1.6677131939767726,https://www.imdb.com/title/tt0154129/,Cartoon All-Stars to the Rescue,"['Milton Gray', 'Marsh Lamore', 'Bob Shellhorn', 'Mike Svayko', 'Karen Peterson', '(supervising)']",,,,,,,,32 min.,,
29,https://en.wikipedia.org/wiki/Catchfire,-1.6677131939767726,https://www.imdb.com/title/tt0096875/,Catchfire,"['Dennis Hopper', '(as', 'Alan Smithee', ')']",Dick Clark,"['Jodie Foster', 'Dennis Hopper', 'Fred Ward', 'Vincent Price']",Curt Sobel,Edward Lachman,David Rawlins,Vestron Pictures,"['April 3, 1990', '(', '1990-04-03', ')']",98 minutes,United States,English
30,https://en.wikipedia.org/wiki/Challenger_(1990_film),-1.6677131939767726,https://www.imdb.com/title/tt0099237/,Challenger,Ben Jordan,,"['Karen Allen', 'Barry Bostwick', 'Richard Jenkins', 'Joe Morton', 'Keone Young', 'Brian Kerwin', 'Julie Fulton', 'Kale Browne', 'Kristin Bond', 'Angela Bassett']",,,,,,,,
31,https://en.wikipedia.org/wiki/Checkered_Flag_(film),-1.6677131939767726,https://www.imdb.com/title/tt0099245/,Checkered Flag,"['John Glen', 'Michael Levine']",James Margellos,,,,,New World International,"['1990', '(', '1990', ')', '[1]']",95 minutes,,English
32,https://en.wikipedia.org/wiki/Child_in_the_Night,-1.6677131939767726,https://www.imdb.com/title/tt0099252/,Child in the Night,Mike Robe,,"['JoBeth Williams', 'Tom Skerritt', 'Elijah Wood', 'Darren McGavin', 'Season Hubley']",,Gerald Hirschfeld,,,,98 minutes,,
33,https://en.wikipedia.org/wiki/Child%27s_Play_2,-1.6677131939767726,https://www.imdb.com/title/tt0099253/,Child's Play 2,John Lafia,David Kirschner,"['Alex Vincent', 'Jenny Agutter', 'Gerrit Graham', 'Christine Elise', 'Grace Zabriskie']",Graeme Revell,Stefan Czapsky,Edward Warschilka,Universal Pictures,"['November 9, 1990', '(', '1990-11-09', ')']",84 minutes,United States,English
34,https://en.wikipedia.org/wiki/China_Cry,-1.6677131939767726,https://www.imdb.com/title/tt0101578/,China Cry,James F. Collier,Don L. Parker,"['Julia Nickson-Soul', 'France Nuyen', 'James Shigeta']","['Joel Hirschhorn', '&', 'Al Kasha']",David Worth,Duane Hartzell & Ruby Yang,Penland Productions,"['November 2, 1990', '(', '1990-11-02', ')', '(USA)']",101 min,USA,English
35,https://en.wikipedia.org/wiki/The_China_Lake_Murders,-1.6677131939767726,https://www.imdb.com/title/tt0099259/,The China Lake Murders,Alan Metzger,,"['Isaac Allan', 'Tom Skerritt', 'Michael Parks']",Dana Kaproff,Geoffrey Schaaf,,,,97 min,,
36,https://en.wikipedia.org/wiki/China_O%27Brien,-1.6677131939767726,https://www.imdb.com/title/tt0099260/,China O'Brien,Robert Clouse,"['Fred Weintraub', 'Sandra Weintraub']","['Cynthia Rothrock', 'Richard Norton', 'Keith Cooke', 'Doug Wright', 'Nijel', 'Arturo Rivera']","['David Wheatley', 'Paul Antonelli']",Kent L. Wakeford,Mark Harrah,"['Studio / Sterling', 'Golden Harvest', 'Media Asia Group']","['1988', '(', '1988', ')']",86 minutes,,English
37,https://en.wikipedia.org/wiki/Class_of_1999,-1.6677131939767726,https://www.imdb.com/title/tt0099277/,Class of 1999,Mark L. Lester,Mark L. Lester,"['Bradley Gregg', 'Traci Lind', 'John P. Ryan', 'Pam Grier', 'Joshua Miller', 'Stacy Keach', 'Malcolm McDowell']",Michael Hoenig,Mark Irwin,Scott Conrad,Lightning Pictures,"May 11, 1990",99 minutes,United States,English
38,https://en.wikipedia.org/wiki/Coins_in_the_Fountain,-1.6677131939767726,https://www.imdb.com/title/tt0099284/,Coins in the Fountain,Tony Wharmby,,"['Loni Anderson', 'Stepfanie Kramer', 'Shanna Reed', 'Carl Weintraub', 'Stuart Wilson', 'Anthony Newley']",,,,,,97 minutes,,
39,https://en.wikipedia.org/wiki/Come_See_the_Paradise,-1.6677131939767726,https://www.imdb.com/title/tt0099291/,Come See the Paradise,Alan Parker,"['Robert F. Colesberry', 'Nellie Nugiel']","['Dennis Quaid', 'Tamlyn Tomita', 'Sab Shimono', 'Shizuko Hoshi']",Randy Edelman,Michael Seresin,Gerry Hambling,20th Century Fox,"['December 23, 1990', '(', '1990-12-23', ')']",138 minutes,United States,English
40,https://en.wikipedia.org/wiki/Coupe_de_Ville_(film),-1.6677131939767726,https://www.imdb.com/title/tt0099310/,Coupe de Ville,Joe Roth,"['James G. Robinson', 'Mike Binder']","['Patrick Dempsey', 'Arye Gross', 'Daniel Stern', 'Annabeth Gish', 'Rita Taggart', 'Joseph Bologna', 'Alan Arkin']",James Newton Howard,Reynaldo Villalobos,Paul Hirsch,Universal Pictures,"['March 9, 1990', '(', '1990-03-09', ')']",99 minutes,United States,English
41,https://en.wikipedia.org/wiki/Crash_and_Burn_(1990_film),-1.6677131939767726,https://www.imdb.com/title/tt0099313/,Crash and Burn,Charles Band,"['David DeCoteau', 'John Schouweiler']","['Paul Ganus', 'Megan Ward', 'Jack McGee', 'Eva LaRue']",Richard Band,Mark Ahlberg,Ted Nicolaou,Paramount Home Video,"['September 1990', '(', '1990-09', ')']",85 minutes,United States,English
42,https://en.wikipedia.org/wiki/Crazy_People,-1.6677131939767726,https://www.imdb.com/title/tt0099316/,Crazy People,"['Tony Bill', 'Barry L. Young (commercials)']","['Thomas Brand', 'Robert K. Weiss']","['Dudley Moore', 'Daryl Hannah', 'Paul Reiser']",Cliff Eidelman,Victor J. Kemper,Mia Goldman,Paramount Pictures,"['April 13, 1990', '(', '1990-04-13', ')', '(U.S.)']",91 min.,United States,English
43,https://en.wikipedia.org/wiki/Cry-Baby,-1.6677131939767726,https://www.imdb.com/title/tt0099329/,Cry-Baby,John Waters,Rachel Talalay,"['Johnny Depp', 'Amy Locane', 'Susan Tyrrell', 'Iggy Pop', 'Ricki Lake', 'Traci Lords', 'Polly Bergen']",Patrick Williams,David Insley,Janice Hampton,Universal Pictures,"['March 14, 1990', '(', '1990-03-14', ')', '(Baltimore)', 'April 6, 1990', '(', '1990-04-06', ')', '(United States)']",85 minutes,United States,English
